unique_id,cutoff,metric,SARIMA
1,2012-07-20,mae,47252.47248054305
2,2012-07-20,mae,41565.85930077088
3,2012-07-20,mae,16018.563440651624
5,2012-07-20,mae,10055.189228081063
6,2012-07-20,mae,28994.581395626377
8,2012-07-20,mae,31620.274782322278
9,2012-07-20,mae,16683.902800035696
10,2012-07-20,mae,52060.897643986194
11,2012-07-20,mae,37938.5194904521
12,2012-07-20,mae,17538.745449491515
13,2012-07-20,mae,69223.9263794521
15,2012-07-20,mae,20075.56419463627
17,2012-07-20,mae,35546.93505946584
19,2012-07-20,mae,37791.1841666668
20,2012-07-20,mae,58908.962002164546
21,2012-07-20,mae,41374.80986239316
22,2012-07-20,mae,36315.861084536715
23,2012-07-20,mae,34750.91333333339
24,2012-07-20,mae,49141.47877774048
25,2012-07-20,mae,15382.774697646304
26,2012-07-20,mae,25628.091961067712
27,2012-07-20,mae,60062.04594155847
28,2012-07-20,mae,70633.28583333334
29,2012-07-20,mae,26875.50402622522
31,2012-07-20,mae,29035.514889279537
32,2012-07-20,mae,29041.108245720097
34,2012-07-20,mae,22301.656492308615
35,2012-07-20,mae,33152.45478598153
37,2012-07-20,mae,6193.155833333333
39,2012-07-20,mae,49150.89112319754
40,2012-07-20,mae,19156.258520568732
41,2012-07-20,mae,36161.55982683981
43,2012-07-20,mae,21802.57976987696
45,2012-07-20,mae,23000.001666666667
1,2012-07-27,mae,52880.66467435964
2,2012-07-27,mae,47000.1031420136
3,2012-07-27,mae,16631.333336138396
5,2012-07-27,mae,11682.321846470397
6,2012-07-27,mae,30616.70903236345
8,2012-07-27,mae,33825.203734218994
9,2012-07-27,mae,19851.46423834396
10,2012-07-27,mae,53226.63079148808
11,2012-07-27,mae,50501.94775105481
12,2012-07-27,mae,17154.56202437292
13,2012-07-27,mae,64648.93447553188
15,2012-07-27,mae,20111.007667006725
17,2012-07-27,mae,32718.783306310954
19,2012-07-27,mae,38116.21583333318
20,2012-07-27,mae,69957.5970940171
21,2012-07-27,mae,43650.05033194585
22,2012-07-27,mae,34662.6925
23,2012-07-27,mae,43039.80878509057
24,2012-07-27,mae,49009.784074591276
25,2012-07-27,mae,17786.84362098893
26,2012-07-27,mae,27694.874038714723
27,2012-07-27,mae,56135.51752136758
28,2012-07-27,mae,73878.51666666668
29,2012-07-27,mae,27790.098679535207
31,2012-07-27,mae,31081.48035280711
32,2012-07-27,mae,23591.988674378994
34,2012-07-27,mae,18654.562815877503
35,2012-07-27,mae,35232.13297016666
37,2012-07-27,mae,7832.3683333333465
39,2012-07-27,mae,42938.766367967124
40,2012-07-27,mae,22591.91684302875
41,2012-07-27,mae,37362.24307692305
43,2012-07-27,mae,15120.018127725963
45,2012-07-27,mae,26880.85666666667
1,2012-08-03,mae,39575.187352001434
2,2012-08-03,mae,48007.42848296937
3,2012-08-03,mae,11626.172376338005
5,2012-08-03,mae,10234.424598468855
6,2012-08-03,mae,32597.607595269666
8,2012-08-03,mae,33444.16209717842
9,2012-08-03,mae,16586.36782173507
10,2012-08-03,mae,57778.18114496992
11,2012-08-03,mae,55348.40767515402
12,2012-08-03,mae,14799.526742904874
13,2012-08-03,mae,55841.5572427253
15,2012-08-03,mae,20080.667067025643
17,2012-08-03,mae,31189.796911004436
19,2012-08-03,mae,39654.69909858508
20,2012-08-03,mae,65441.368597046436
21,2012-08-03,mae,42780.31570052987
22,2012-08-03,mae,35674.54745186493
23,2012-08-03,mae,50053.033013489585
24,2012-08-03,mae,50409.09600593718
25,2012-08-03,mae,19888.603695143265
26,2012-08-03,mae,25796.64790106389
27,2012-08-03,mae,58861.724926160416
28,2012-08-03,mae,64006.40500000003
29,2012-08-03,mae,29329.312902040267
31,2012-08-03,mae,26202.697568956628
32,2012-08-03,mae,19305.18780274598
34,2012-08-03,mae,20503.377283155674
35,2012-08-03,mae,36312.17352119811
37,2012-08-03,mae,8349.96583333335
39,2012-08-03,mae,41301.96666666671
40,2012-08-03,mae,24614.760438114772
41,2012-08-03,mae,37431.52256329115
43,2012-08-03,mae,14592.790137469749
45,2012-08-03,mae,25309.667499999992
1,2012-07-20,rmse,54303.8301316622
2,2012-07-20,rmse,51422.64179644861
3,2012-07-20,rmse,20524.61864506115
5,2012-07-20,rmse,12020.194487501209
6,2012-07-20,rmse,33233.207302043375
8,2012-07-20,rmse,38540.58319938655
9,2012-07-20,rmse,23081.023278858436
10,2012-07-20,rmse,68696.25303971865
11,2012-07-20,rmse,50279.67471326021
12,2012-07-20,rmse,24763.41716309909
13,2012-07-20,rmse,89658.11963213039
15,2012-07-20,rmse,25115.776634359114
17,2012-07-20,rmse,38442.924131978696
19,2012-07-20,rmse,42380.454800383784
20,2012-07-20,rmse,73877.35785793223
21,2012-07-20,rmse,47548.61864003716
22,2012-07-20,rmse,53598.49345692892
23,2012-07-20,rmse,45706.59599904452
24,2012-07-20,rmse,63358.12190994083
25,2012-07-20,rmse,17724.486149214215
26,2012-07-20,rmse,34552.26036480514
27,2012-07-20,rmse,102516.57604986544
28,2012-07-20,rmse,100423.54344268066
29,2012-07-20,rmse,36540.70091574067
31,2012-07-20,rmse,35769.891163884924
32,2012-07-20,rmse,35376.170819038496
34,2012-07-20,rmse,25143.864365660473
35,2012-07-20,rmse,39319.627414920724
37,2012-07-20,rmse,7997.790396802994
39,2012-07-20,rmse,56608.39312812024
40,2012-07-20,rmse,24111.39908264974
41,2012-07-20,rmse,41944.46341865568
43,2012-07-20,rmse,26460.9225842783
45,2012-07-20,rmse,37274.88134125312
1,2012-07-27,rmse,59003.66658397377
2,2012-07-27,rmse,54933.49565706935
3,2012-07-27,rmse,20548.201425477735
5,2012-07-27,rmse,13712.961541226083
6,2012-07-27,rmse,35364.29836602914
8,2012-07-27,rmse,39316.23788175919
9,2012-07-27,rmse,26560.67949917475
10,2012-07-27,rmse,69315.95423978989
11,2012-07-27,rmse,67186.97678083822
12,2012-07-27,rmse,24253.990604999755
13,2012-07-27,rmse,85943.78542048707
15,2012-07-27,rmse,25262.005318715655
17,2012-07-27,rmse,36026.73494977623
19,2012-07-27,rmse,42437.56806497517
20,2012-07-27,rmse,84920.37627565287
21,2012-07-27,rmse,49020.784562155175
22,2012-07-27,rmse,52217.283536857416
23,2012-07-27,rmse,56906.39157407725
24,2012-07-27,rmse,63889.191628034554
25,2012-07-27,rmse,19425.696852479658
26,2012-07-27,rmse,35294.17788532814
27,2012-07-27,rmse,101627.41625738166
28,2012-07-27,rmse,101707.18742500969
29,2012-07-27,rmse,36696.571471781834
31,2012-07-27,rmse,36796.64158888302
32,2012-07-27,rmse,28553.92550518908
34,2012-07-27,rmse,21591.88021700259
35,2012-07-27,rmse,40222.19143726287
37,2012-07-27,rmse,10051.770500505183
39,2012-07-27,rmse,51835.37157357924
40,2012-07-27,rmse,27217.006809019455
41,2012-07-27,rmse,42257.85136405376
43,2012-07-27,rmse,18673.4787007618
45,2012-07-27,rmse,40303.94885020449
1,2012-08-03,rmse,45335.773257838366
2,2012-08-03,rmse,55974.66927006281
3,2012-08-03,rmse,13943.84567877925
5,2012-08-03,rmse,11343.883923666837
6,2012-08-03,rmse,38004.09498292044
8,2012-08-03,rmse,39754.378018424715
9,2012-08-03,rmse,22814.897318839474
10,2012-08-03,rmse,72036.83939337278
